id_etudiant,id_competence,score
ETU_0001,MED_C01,1
ETU_0001,MED_C02,0
ETU_0001,MED_C03,0
ETU_0001,MED_C04,0
ETU_0001,MED_C05,1
ETU_0001,MED_C06,0
ETU_0001,MED_C07,0
ETU_0001,MED_C08,0
ETU_0001,MED_C09,0
ETU_0001,MED_C10,0
ETU_0001,MED_C11,0
ETU_0001,MED_C12,0
ETU_0001,MED_C13,0
ETU_0001,MED_C14,0
ETU_0002,DEN_C01,1
ETU_0002,DEN_C02,1
ETU_0002,DEN_C03,0
ETU_0002,DEN_C04,3
ETU_0002,DEN_C05,0
ETU_0002,DEN_C06,1
ETU_0002,DEN_C07,2
ETU_0002,DEN_C08,0
ETU_0002,DEN_C09,0
ETU_0002,DEN_C10,1
ETU_0002,DEN_C11,1
ETU_0002,DEN_C12,0
ETU_0003,MAI_C01,0
ETU_0003,MAI_C02,0
ETU_0003,MAI_C03,1
ETU_0003,MAI_C04,0
ETU_0003,MAI_C05,0
ETU_0003,MAI_C06,0
ETU_0003,MAI_C07,0
ETU_0003,MAI_C08,1
ETU_0003,MAI_C09,0
ETU_0003,MAI_C10,0
ETU_0003,MAI_C11,0
ETU_0003,MAI_C12,-1
ETU_0004,PHA_C01,0
ETU_0004,PHA_C02,2
ETU_0004,PHA_C03,0
ETU_0004,PHA_C04,0
ETU_0004,PHA_C05,0
ETU_0004,PHA_C06,0
ETU_0004,PHA_C07,0
ETU_0004,PHA_C08,0
ETU_0004,PHA_C09,0
ETU_0004,PHA_C10,0
ETU_0005,MED_C01,0
ETU_0005,MED_C02,0
ETU_0005,MED_C03,0
ETU_0005,MED_C04,0
ETU_0005,MED_C05,1
ETU_0005,MED_C06,0
ETU_0005,MED_C07,0
ETU_0005,MED_C08,0
ETU_0005,MED_C09,0
ETU_0005,MED_C10,0
ETU_0005,MED_C11,0
ETU_0005,MED_C12,1
ETU_0005,MED_C13,1
ETU_0005,MED_C14,0
ETU_0006,MED_C01,0
ETU_0006,MED_C02,0
ETU_0006,MED_C03,0
ETU_0006,MED_C04,0
ETU_0006,MED_C05,1
ETU_0006,MED_C06,1
ETU_0006,MED_C07,0
ETU_0006,MED_C08,1
ETU_0006,MED_C09,0
ETU_0006,MED_C10,2
ETU_0006,MED_C11,0
ETU_0006,MED_C12,0
ETU_0006,MED_C13,0
ETU_0006,MED_C14,0
ETU_0007,MED_C01,0
ETU_0007,MED_C02,1
ETU_0007,MED_C03,0
ETU_0007,MED_C04,1
ETU_0007,MED_C05,1
ETU_0007,MED_C06,1
ETU_0007,MED_C07,1
ETU_0007,MED_C08,1
ETU_0007,MED_C09,-1
ETU_0007,MED_C10,0
ETU_0007,MED_C11,1
ETU_0007,MED_C12,1
ETU_0007,MED_C13,1
ETU_0007,MED_C14,1
ETU_0008,DEN_C01,1
ETU_0008,DEN_C02,2
ETU_0008,DEN_C03,1
ETU_0008,DEN_C04,1
ETU_0008,DEN_C05,0
ETU_0008,DEN_C06,0
ETU_0008,DEN_C07,1
ETU_0008,DEN_C08,0
